operator_provider,error_code,error_name,description,category,stage,retry,portal_action,source,verification
Jio,618,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,619,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,620,HEADER_NOT_FOUND,Header not found.,Header,DLR/Submit,NO,Check Header/Sender ID,Common DLT mapping,VERIFY WITH OPERATOR
Jio,621,HEADER_INACTIVE,Header is inactive.,Header,DLR/Submit,NO,Check Header/Sender ID,Common DLT mapping,VERIFY WITH OPERATOR
Jio,622,HEADER_BLACKLISTED,Header is blacklisted.,Header,DLR/Submit,NO,Check Header/Sender ID,Common DLT mapping,VERIFY WITH OPERATOR
Jio,623,PEID_NOT_MATCHED_WITH_HEADER,PE ID does not match Header ID.,Header,DLR/Submit,NO,Check Header/Sender ID,Common DLT mapping,VERIFY WITH OPERATOR
Jio,624,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,625,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,626,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,627,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,628,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,629,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,630,TEMPLATE_NOT_FOUND,Template not found.,Template,DLR/Submit,NO,Check Template ID/content,Common DLT mapping,VERIFY WITH OPERATOR
Jio,631,TEMPLATE_INACTIVE,Template is inactive.,Template,DLR/Submit,NO,Check Template ID/content,Common DLT mapping,VERIFY WITH OPERATOR
Jio,632,TEMPLATE_BLACKLISTED,Template is blacklisted.,Template,DLR/Submit,NO,Check Template ID/content,Common DLT mapping,VERIFY WITH OPERATOR
Jio,633,TEMPLATE_NOT_MATCHED,Template/content does not match.,Template,DLR/Submit,NO,Check Template ID/content,Common DLT mapping,VERIFY WITH OPERATOR
Jio,634,HEADER_NOT_REGISTERED_FOR_TEMPLATE,Header is not registered for template.,Template,DLR/Submit,NO,Check Template ID/content,Common DLT mapping,VERIFY WITH OPERATOR
Jio,635,TEMPLATE_VARIABLE_LENGTH_EXCEEDED,Template variable exceeded maximum length.,Template,DLR/Submit,NO,Check Template ID/content,Common DLT mapping,VERIFY WITH OPERATOR
Jio,636,ERROR_IDENTIFYING_TEMPLATE,Error identifying template.,Template,DLR/Submit,NO,Check Template ID/content,Common DLT mapping,VERIFY WITH OPERATOR
Jio,637,INVALID_TEMPLATE_ID,Invalid Template ID.,Template,DLR/Submit,NO,Check Template ID/content,Common DLT mapping,VERIFY WITH OPERATOR
Jio,638,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,639,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,640,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,641,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,642,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,643,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,644,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,645,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,646,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,647,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,648,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,649,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,650,PREFERENCE_NOT_MATCHED,Destination is blocked by preference/DND rules.,Preference/DND,DLR/Submit,PROVIDER-DEPENDENT,Check DND/preference/consent,Common DLT mapping,VERIFY WITH OPERATOR
Jio,651,INVALID_PROMO_TIME,Promotional time restriction.,Preference/DND,DLR/Submit,PROVIDER-DEPENDENT,Check DND/preference/consent,Common DLT mapping,VERIFY WITH OPERATOR
Jio,652,SE_CATEGORY_BLOCK,Service/entity category blocked.,Preference/DND,DLR/Submit,PROVIDER-DEPENDENT,Check DND/preference/consent,Common DLT mapping,VERIFY WITH OPERATOR
Jio,653,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,654,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,655,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,656,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,657,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,658,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,659,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,660,CONSENT_FAILED,Consent validation failed.,Consent,DLR/Submit,NO,Check DND/preference/consent,Common DLT mapping,VERIFY WITH OPERATOR
Jio,661,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,662,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,663,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,664,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,665,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,666,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,667,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,668,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,669,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,670,SCRUBBING_FAILED,DLT scrubbing failed.,Scrubbing,DLR/Submit,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Common DLT mapping,VERIFY WITH OPERATOR
Jio,671,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,672,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,673,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,674,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,675,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,676,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,677,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,678,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,679,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,680,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,681,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,682,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,683,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,684,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,685,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,686,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,687,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,688,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
